Time_Index,Diesel_Price,Grid_Elec_Price
1,79.77,27.11
2,79.77,27.07
3,79.77,26.96
4,79.77,26.91
5,79.77,26.79
6,79.77,26.79
7,79.77,27.46
8,79.77,27.24
9,79.77,26.62
10,79.77,27.15
11,79.77,27.65
12,79.77,27.69
13,79.77,27.64
14,79.77,27.72
15,79.77,27.65
16,79.77,29.20
17,79.77,38.10
18,79.77,42.48
19,79.77,39.74
20,79.77,32.45
21,79.77,29.38
22,79.77,28.42
23,79.77,28.05
24,79.77,27.00
25,79.77,36.19
26,79.77,36.12
27,79.77,36.08
28,79.77,36.07
29,79.77,36.09
30,79.77,36.16
31,79.77,36.28
32,79.77,36.39
33,79.77,36.51
34,79.77,36.62
35,79.77,36.70
36,79.77,37.08
37,79.77,37.07
38,79.77,37.07
39,79.77,37.06
40,79.77,37.52
41,79.77,41.34
42,79.77,42.33
43,79.77,42.34
44,79.77,42.19
45,79.77,42.09
46,79.77,41.59
47,79.77,38.15
48,79.77,36.98
49,79.77,39.97
50,79.77,39.60
51,79.77,39.47
52,79.77,39.88
53,79.77,41.35
54,79.77,42.46
55,79.77,43.23
56,79.77,43.35
57,79.77,43.40
58,79.77,43.41
59,79.77,43.42
60,79.77,43.42
61,79.77,43.42
62,79.77,42.99
63,79.77,43.41
64,79.77,43.84
65,79.77,52.02
66,79.77,62.90
67,79.77,79.66
68,79.77,80.00
69,79.77,52.23
70,79.77,52.03
71,79.77,43.76
72,79.77,43.54
73,79.77,40.25
74,79.77,40.18
75,79.77,40.15
76,79.77,40.14
77,79.77,40.20
78,79.77,41.66
79,79.77,43.10
80,79.77,51.93
81,79.77,43.21
82,79.77,42.94
83,79.77,43.28
84,79.77,43.12
85,79.77,43.07
86,79.77,43.05
87,79.77,48.24
88,79.77,49.46
89,79.77,61.19
90,79.77,74.50
91,79.77,73.59
92,79.77,61.33
93,79.77,55.04
94,79.77,49.53
95,79.77,42.90
96,79.77,42.00
97,79.77,42.47
98,79.77,42.38
99,79.77,42.33
100,79.77,42.33
101,79.77,42.37
102,79.77,42.53
103,79.77,52.10
104,79.77,62.89
105,79.77,52.47
106,79.77,52.46
107,79.77,52.43
108,79.77,52.16
109,79.77,52.09
110,79.77,52.05
111,79.77,45.91
112,79.77,52.06
113,79.77,52.49
114,79.77,63.11
115,79.77,64.78
116,79.77,58.48
117,79.77,53.31
118,79.77,43.00
119,79.77,42.10
120,79.77,40.17
121,79.77,29.40
122,79.77,29.24
123,79.77,29.18
124,79.77,29.09
