Time_Index,Minigrid_Solar_PV
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0.0185
9,0.1295
10,0.22325
11,0.28925
12,0.295
13,0.2815
14,0.1975
15,0.13025
16,0.06175
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0.0105
33,0.067
34,0.09275
35,0.18225
36,0.173
37,0.28525
38,0.2255
39,0.13725
40,0.07225
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0.00675
57,0.01675
58,0.042
59,0.04925
60,0.054
61,0.05175
62,0.0505
63,0.0245
64,0.01175
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0.00925
81,0.0655
82,0.16025
83,0.139
84,0.21
85,0.16125
86,0.1335
87,0.0905
88,0.04625
89,0.001
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0.012
105,0.06875
106,0.12825
107,0.1785
108,0.1175
109,0.143
110,0.1235
111,0.102
112,0.0605
113,0.001
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0.01375
129,0.10375
130,0.17175
131,0.2355
132,0.17975
133,0.15725
134,0.14325
135,0.14375
136,0.06
137,0.00125
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0.017
153,0.0935
154,0.16575
155,0.266
156,0.286
157,0.32275
158,0.2035
159,0.0955
160,0.05
161,0.00175
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0.02925
177,0.1725
178,0.3025
179,0.39575
180,0.44825
181,0.44675
182,0.3845
183,0.2535
184,0.105
185,0.004
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0.01375
201,0.085
202,0.15
203,0.2265
204,0.29825
205,0.35775
206,0.273
207,0.22
208,0.091
209,0.0035
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
