Time_Index,Elec_Demand
1,14.34
2,13.08
3,12.49
4,12.6
5,13.67
6,15.25
7,16.64
8,16.84
9,16.32
10,16.74
11,16.98
12,16.82
13,16.94
14,16.42
15,15.54
16,15.59
17,17.16
18,18.83
19,18.85
20,18.3
21,17.22
22,16.51
23,15.7
24,14.55
25,14.28
26,13.42
27,12.8
28,12.95
29,13.57
30,14.98
31,17.96
32,19.9
33,20.21
34,21.17
35,22.15
36,21.5
37,21.34
38,20.75
39,19.83
40,19.24
41,19.73
42,20.84
43,20.72
44,20.18
45,19.11
46,18.44
47,17.56
48,16.03
49,15.44
50,14.62
51,14.17
52,14.52
53,15.43
54,17.36
55,20.56
56,22.51
57,23.18
58,24.26
59,24.97
60,24.68
61,24.35
62,23.38
63,22.51
64,22.32
65,23.51
66,24.71
67,24.96
68,24.29
69,23.98
70,23.22
71,22.3
72,21.12
73,20.21
74,19.15
75,18.55
76,18.82
77,19.43
78,21.15
79,24.03
80,25.48
81,25.9
82,26.32
83,26.08
84,25.54
85,24.9
86,23.85
87,22.89
88,21.89
89,22.13
90,22.74
91,22.74
92,21.89
93,20.57
94,19.39
95,18.12
96,16.73
97,15.55
98,14.58
99,14.03
100,14.13
101,14.68
102,16.45
103,19.46
104,21.03
105,21.62
106,22.82
107,23.53
108,23.41
109,22.96
110,22.52
111,21.73
112,20.7
113,21.23
114,22.14
115,22.29
116,21.48
117,20.89
118,19.73
119,18.53
120,17.32
121,16.53
122,15.8
123,15.17
124,15.07
125,15.44
126,16.92
127,19.55
128,21.11
129,22.04
130,23.47
131,23.99
132,23.73
133,23.12
134,22.28
135,21.58
136,20.76
137,20.97
138,21.71
139,21.67
140,21.04
141,20.04
142,19.1
143,17.86
144,16.49
145,15.41
146,14.37
147,13.87
148,13.82
149,14.32
150,15.82
151,17.12
152,17.87
153,17.88
154,18.73
155,18.7
156,18.71
157,18.42
158,17.74
159,16.94
160,16.84
161,18.25
162,20.1
163,19.96
164,19.29
165,18.38
166,17.21
167,15.85
168,14.41
169,13.64
170,12.54
171,12
172,12.11
173,13.06
174,14.25
175,15.6
176,16.09
177,15.62
178,16.44
179,16.95
180,17.24
181,17.22
182,16.78
183,16.43
184,16.82
185,18.08
186,19.67
187,20.14
188,19.56
189,18.56
190,17.62
191,16.45
192,15.4
193,15.15
194,14.37
195,13.84
196,13.99
197,14.5
198,16.11
199,19.18
200,20.77
201,20.96
202,21.58
203,21.62
204,21.47
205,20.76
206,19.73
207,18.71
208,17.85
209,18.44
210,19.64
211,20
212,19.21
213,18.53
214,17.47
215,16.55
216,15.02
217,14.05
218,13.15
219,12.54
220,12.6
221,13.16
222,14.82
223,17.82
224,19.3
225,20.15
226,20.85
227,21.03
228,20.65
229,20.29
230,19.5
231,18.77
232,18.04
233,18.18
234,19.42
235,19.36
236,18.82
237,17.82
238,16.72
239,15.93
240,14.68
241,13.76
242,13.19
243,12.74
244,13.01
245,13.75
246,15.57
247,18.68
248,20.19
249,20.68
250,21.3
251,21.53
252,20.85
253,20.54
254,19.76
255,19.05
256,18.37
257,18.52
258,19.81
259,19.58
260,18.82
261,18.1
262,17.02
263,15.82
264,14.49
265,13.69
266,12.8
267,12.16
268,12.14
269,12.69
