Time_Index,Minigrid_Solar_PV
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0.00925
9,0.06475
10,0.111625
11,0.144625
12,0.1475
13,0.14075
14,0.09875
15,0.065125
16,0.030875
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0.00525
33,0.0335
34,0.046375
35,0.091125
36,0.0865
37,0.142625
38,0.11275
39,0.068625
40,0.036125
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0.003375
57,0.008375
58,0.021
59,0.024625
60,0.027
61,0.025875
62,0.02525
63,0.01225
64,0.005875
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0.004625
81,0.03275
82,0.080125
83,0.0695
84,0.105
85,0.080625
86,0.06675
87,0.04525
88,0.023125
89,0.0005
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0.006
105,0.034375
106,0.064125
107,0.08925
108,0.05875
109,0.0715
110,0.06175
111,0.051
112,0.03025
113,0.0005
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0.006875
129,0.051875
130,0.085875
131,0.11775
132,0.089875
133,0.078625
134,0.071625
135,0.071875
136,0.03
137,0.000625
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0.0085
153,0.04675
154,0.082875
155,0.133
156,0.143
157,0.161375
158,0.10175
159,0.04775
160,0.025
161,0.000875
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0.014625
177,0.08625
178,0.15125
179,0.197875
180,0.224125
181,0.223375
182,0.19225
183,0.12675
184,0.0525
185,0.002
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0.006875
201,0.0425
202,0.075
203,0.11325
204,0.149125
205,0.178875
206,0.1365
207,0.11
208,0.0455
209,0.00175
210,0
211,0
212,0
213,0
214,0
